horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,cycle_lag_days,MAE_current_only,improvement_vs_current_only_%
1,structural_all,Ridge,19965,4992,3.744,5.896,0.981,3981,3.774,0.78
1,cycle_recurrence,Ridge,19965,4992,3.745,5.921,0.981,3981,3.774,0.755
1,regime_numeric,Ridge,19965,4992,3.746,5.9,0.981,3981,3.774,0.724
1,regime_all,Ridge,19965,4992,3.746,5.9,0.981,3981,3.774,0.72
1,persistence,Persistence,19965,4992,3.751,5.944,0.98,3981,,
1,current_only,HistGradientBoosting,19965,4992,3.764,5.921,0.981,3981,3.764,0.0
1,structural_all,HistGradientBoosting,19965,4992,3.772,5.962,0.98,3981,3.764,-0.217
1,current_only,Ridge,19965,4992,3.774,5.93,0.98,3981,3.774,0.0
1,cycle_phase,HistGradientBoosting,19965,4992,3.777,5.932,0.98,3981,3.764,-0.346
1,cycle_recurrence,HistGradientBoosting,19965,4992,3.782,5.945,0.98,3981,3.764,-0.487
1,cycle_phase,Ridge,19965,4992,3.789,5.923,0.98,3981,3.774,-0.421
1,full_cycle,Ridge,19965,4992,3.792,5.924,0.98,3981,3.774,-0.477
1,regime_numeric,HistGradientBoosting,19965,4992,3.793,5.926,0.98,3981,3.764,-0.785
1,regime_all,HistGradientBoosting,19965,4992,3.794,5.937,0.98,3981,3.764,-0.814
1,structural_all,RandomForest,19965,4992,3.816,6.068,0.98,3981,3.906,2.305
1,full_cycle,HistGradientBoosting,19965,4992,3.826,6.013,0.98,3981,3.764,-1.647
1,regime_numeric,RandomForest,19965,4992,3.843,6.085,0.979,3981,3.906,1.624
1,regime_all,RandomForest,19965,4992,3.843,6.084,0.979,3981,3.906,1.618
1,full_cycle,RandomForest,19965,4992,3.858,6.094,0.979,3981,3.906,1.221
1,cycle_phase,RandomForest,19965,4992,3.866,6.091,0.979,3981,3.906,1.019
1,cycle_recurrence,RandomForest,19965,4992,3.876,6.162,0.979,3981,3.906,0.759
1,current_only,RandomForest,19965,4992,3.906,6.194,0.979,3981,3.906,0.0
7,structural_all,HistGradientBoosting,19965,4992,13.559,20.385,0.769,3975,15.079,10.085
7,regime_all,Ridge,19965,4992,13.749,20.277,0.771,3975,15.771,12.815
7,regime_numeric,Ridge,19965,4992,13.843,20.291,0.771,3975,15.771,12.22
7,structural_all,Ridge,19965,4992,13.995,20.05,0.777,3975,15.771,11.257
7,structural_all,RandomForest,19965,4992,14.328,21.31,0.748,3975,15.312,6.425
7,regime_numeric,HistGradientBoosting,19965,4992,14.689,21.83,0.735,3975,15.079,2.589
7,regime_all,HistGradientBoosting,19965,4992,14.707,21.866,0.734,3975,15.079,2.469
7,cycle_recurrence,Ridge,19965,4992,14.725,21.894,0.734,3975,15.771,6.632
7,regime_all,RandomForest,19965,4992,14.802,22.015,0.731,3975,15.312,3.326
7,regime_numeric,RandomForest,19965,4992,14.828,22.057,0.73,3975,15.312,3.156
7,cycle_recurrence,HistGradientBoosting,19965,4992,14.995,22.601,0.716,3975,15.079,0.557
7,current_only,HistGradientBoosting,19965,4992,15.079,22.331,0.723,3975,15.079,0.0
7,persistence,Persistence,19965,4992,15.156,23.239,0.7,3975,,
7,cycle_recurrence,RandomForest,19965,4992,15.29,23.147,0.702,3975,15.312,0.143
7,current_only,RandomForest,19965,4992,15.312,22.83,0.71,3975,15.312,0.0
7,cycle_phase,Ridge,19965,4992,15.737,21.996,0.731,3975,15.771,0.215
7,current_only,Ridge,19965,4992,15.771,22.408,0.721,3975,15.771,0.0
7,cycle_phase,HistGradientBoosting,19965,4992,16.031,23.614,0.69,3975,15.079,-6.311
7,full_cycle,Ridge,19965,4992,16.137,22.328,0.723,3975,15.771,-2.322
7,cycle_phase,RandomForest,19965,4992,16.561,24.319,0.671,3975,15.312,-8.162
7,full_cycle,HistGradientBoosting,19965,4992,16.643,24.361,0.67,3975,15.079,-10.367
7,full_cycle,RandomForest,19965,4992,16.664,24.37,0.67,3975,15.312,-8.834
27,structural_all,HistGradientBoosting,19965,4992,13.515,19.627,0.786,3955,14.192,4.773
27,regime_all,Ridge,19965,4992,13.526,19.37,0.791,3955,14.759,8.359
27,structural_all,RandomForest,19965,4992,13.55,20.116,0.775,3955,14.369,5.698
27,structural_all,Ridge,19965,4992,13.573,19.028,0.799,3955,14.759,8.036
27,regime_numeric,Ridge,19965,4992,13.577,19.371,0.791,3955,14.759,8.008
27,cycle_recurrence,Ridge,19965,4992,13.929,19.899,0.78,3955,14.759,5.628
27,persistence,Persistence,19965,4992,14.007,20.715,0.761,3955,,
27,current_only,HistGradientBoosting,19965,4992,14.192,20.295,0.771,3955,14.192,0.0
27,cycle_recurrence,HistGradientBoosting,19965,4992,14.267,20.832,0.759,3955,14.192,-0.525
27,current_only,RandomForest,19965,4992,14.369,20.735,0.761,3955,14.369,0.0
27,cycle_phase,HistGradientBoosting,19965,4992,14.381,20.994,0.755,3955,14.192,-1.328
27,regime_all,HistGradientBoosting,19965,4992,14.456,21.054,0.754,3955,14.192,-1.854
27,cycle_recurrence,RandomForest,19965,4992,14.513,21.356,0.746,3955,14.369,-1.002
27,cycle_phase,RandomForest,19965,4992,14.516,21.594,0.741,3955,14.369,-1.026
27,regime_numeric,HistGradientBoosting,19965,4992,14.571,21.248,0.749,3955,14.192,-2.67
27,regime_all,RandomForest,19965,4992,14.609,21.698,0.738,3955,14.369,-1.671
27,regime_numeric,RandomForest,19965,4992,14.64,21.76,0.737,3955,14.369,-1.883
27,cycle_phase,Ridge,19965,4992,14.731,20.014,0.777,3955,14.759,0.189
27,current_only,Ridge,19965,4992,14.759,20.126,0.775,3955,14.759,0.0
27,full_cycle,Ridge,19965,4992,15.213,20.446,0.768,3955,14.759,-3.074
27,full_cycle,HistGradientBoosting,19965,4992,15.515,22.205,0.726,3955,14.192,-9.321
27,full_cycle,RandomForest,19965,4992,15.557,22.043,0.73,3955,14.369,-8.267
81,structural_all,RandomForest,19965,4992,15.776,22.865,0.709,3901,18.033,12.519
81,structural_all,HistGradientBoosting,19965,4992,15.98,23.092,0.704,3901,17.799,10.218
81,regime_all,HistGradientBoosting,19965,4992,16.896,24.421,0.668,3901,17.799,5.07
81,structural_all,Ridge,19965,4992,16.959,22.916,0.708,3901,18.422,7.942
81,regime_numeric,HistGradientBoosting,19965,4992,16.971,24.536,0.665,3901,17.799,4.652
81,regime_numeric,Ridge,19965,4992,17.051,23.872,0.683,3901,18.422,7.44
81,regime_all,Ridge,19965,4992,17.158,23.902,0.682,3901,18.422,6.863
81,regime_numeric,RandomForest,19965,4992,17.227,25.088,0.65,3901,18.033,4.469
81,regime_all,RandomForest,19965,4992,17.255,25.132,0.649,3901,18.033,4.314
81,cycle_recurrence,Ridge,19965,4992,17.327,24.841,0.657,3901,18.422,5.943
81,cycle_recurrence,HistGradientBoosting,19965,4992,17.722,26.038,0.623,3901,17.799,0.429
81,current_only,HistGradientBoosting,19965,4992,17.799,25.429,0.641,3901,17.799,0.0
81,persistence,Persistence,19965,4992,17.825,26.481,0.61,3901,,
81,current_only,RandomForest,19965,4992,18.033,25.917,0.627,3901,18.033,0.0
81,cycle_phase,Ridge,19965,4992,18.084,24.211,0.674,3901,18.422,1.836
81,cycle_recurrence,RandomForest,19965,4992,18.418,26.858,0.599,3901,18.033,-2.135
81,current_only,Ridge,19965,4992,18.422,25.188,0.647,3901,18.422,0.0
81,cycle_phase,HistGradientBoosting,19965,4992,18.63,26.514,0.609,3901,17.799,-4.669
81,full_cycle,Ridge,19965,4992,18.851,24.872,0.656,3901,18.422,-2.328
81,cycle_phase,RandomForest,19965,4992,19.089,27.394,0.583,3901,18.033,-5.854
81,full_cycle,HistGradientBoosting,19965,4992,20.12,28.376,0.552,3901,17.799,-13.042
81,full_cycle,RandomForest,19965,4992,20.72,28.681,0.543,3901,18.033,-14.899
180,structural_all,HistGradientBoosting,19965,4992,17.301,24.519,0.666,3802,19.905,13.079
180,structural_all,RandomForest,19965,4992,18.297,25.076,0.65,3802,20.264,9.705
180,structural_all,Ridge,19965,4992,19.135,25.576,0.636,3802,21.491,10.962
180,cycle_recurrence,HistGradientBoosting,19965,4992,19.359,28.421,0.551,3802,19.905,2.741
180,regime_all,HistGradientBoosting,19965,4992,19.473,27.612,0.576,3802,19.905,2.168
180,cycle_recurrence,Ridge,19965,4992,19.543,28.286,0.555,3802,21.491,9.065
180,cycle_recurrence,RandomForest,19965,4992,19.67,29.043,0.531,3802,20.264,2.929
180,regime_numeric,HistGradientBoosting,19965,4992,19.789,27.947,0.566,3802,19.905,0.58
180,current_only,HistGradientBoosting,19965,4992,19.905,28.114,0.561,3802,19.905,0.0
180,cycle_phase,HistGradientBoosting,19965,4992,19.979,28.729,0.541,3802,19.905,-0.373
180,regime_numeric,RandomForest,19965,4992,20.066,29.066,0.53,3802,20.264,0.974
180,cycle_phase,Ridge,19965,4992,20.094,26.657,0.605,3802,21.491,6.501
180,regime_all,RandomForest,19965,4992,20.144,29.157,0.527,3802,20.264,0.59
180,current_only,RandomForest,19965,4992,20.264,28.632,0.544,3802,20.264,0.0
180,regime_numeric,Ridge,19965,4992,20.511,27.59,0.577,3802,21.491,4.56
180,regime_all,Ridge,19965,4992,20.84,28.036,0.563,3802,21.491,3.03
180,persistence,Persistence,19965,4992,20.98,31.111,0.462,3802,,
180,full_cycle,Ridge,19965,4992,21.168,27.565,0.578,3802,21.491,1.505
180,cycle_phase,RandomForest,19965,4992,21.461,31.08,0.463,3802,20.264,-5.91
180,current_only,Ridge,19965,4992,21.491,29.061,0.531,3802,21.491,0.0
180,full_cycle,HistGradientBoosting,19965,4992,22.66,31.219,0.458,3802,19.905,-13.845
180,full_cycle,RandomForest,19965,4992,25.331,35.646,0.294,3802,20.264,-25.008
365,cycle_phase,HistGradientBoosting,19965,4992,19.773,27.76,0.572,3617,24.652,19.79
365,structural_all,HistGradientBoosting,19965,4992,19.823,26.655,0.605,3617,24.652,19.588
365,cycle_phase,RandomForest,19965,4992,20.775,29.427,0.519,3617,24.934,16.68
365,cycle_phase,Ridge,19965,4992,21.446,28.169,0.559,3617,26.049,17.671
365,cycle_recurrence,HistGradientBoosting,19965,4992,21.514,30.761,0.474,3617,24.652,12.727
365,cycle_recurrence,RandomForest,19965,4992,21.981,31.413,0.451,3617,24.934,11.845
365,structural_all,Ridge,19965,4992,22.69,29.115,0.529,3617,26.049,12.898
365,full_cycle,Ridge,19965,4992,22.721,29.315,0.522,3617,26.049,12.777
365,cycle_recurrence,Ridge,19965,4992,22.766,31.418,0.451,3617,26.049,12.605
365,full_cycle,HistGradientBoosting,19965,4992,22.807,31.048,0.464,3617,24.652,7.483
365,full_cycle,RandomForest,19965,4992,23.527,31.745,0.44,3617,24.934,5.644
365,regime_all,HistGradientBoosting,19965,4992,23.604,32.359,0.418,3617,24.652,4.252
365,structural_all,RandomForest,19965,4992,23.912,34.19,0.35,3617,24.934,4.098
365,regime_numeric,HistGradientBoosting,19965,4992,23.956,32.768,0.403,3617,24.652,2.824
365,current_only,HistGradientBoosting,19965,4992,24.652,32.026,0.43,3617,24.652,0.0
365,current_only,RandomForest,19965,4992,24.934,32.682,0.406,3617,24.934,0.0
365,regime_numeric,RandomForest,19965,4992,24.953,34.786,0.327,3617,24.934,-0.074
365,regime_all,RandomForest,19965,4992,24.972,34.862,0.324,3617,24.934,-0.152
365,regime_numeric,Ridge,19965,4992,25.235,30.982,0.466,3617,26.049,3.127
365,persistence,Persistence,19965,4992,25.515,36.342,0.266,3617,,
365,current_only,Ridge,19965,4992,26.049,33.076,0.392,3617,26.049,0.0
365,regime_all,Ridge,19965,4992,27.003,33.796,0.365,3617,26.049,-3.659
730,cycle_phase,HistGradientBoosting,19965,4992,22.337,30.073,0.497,3252,33.679,33.678
730,cycle_phase,RandomForest,19965,4992,23.205,31.816,0.437,3252,33.997,31.743
730,cycle_phase,Ridge,19965,4992,23.324,30.69,0.476,3252,33.375,30.116
730,structural_all,HistGradientBoosting,19965,4992,24.422,31.148,0.461,3252,33.679,27.488
730,full_cycle,Ridge,19965,4992,24.707,32.048,0.429,3252,33.375,25.971
730,full_cycle,HistGradientBoosting,19965,4992,25.443,35.325,0.306,3252,33.679,24.456
730,cycle_recurrence,Ridge,19965,4992,25.794,35.311,0.307,3252,33.375,22.713
730,cycle_recurrence,HistGradientBoosting,19965,4992,26.649,37.294,0.227,3252,33.679,20.876
730,structural_all,Ridge,19965,4992,26.892,32.894,0.398,3252,33.375,19.424
730,full_cycle,RandomForest,19965,4992,27.076,37.598,0.214,3252,33.997,20.359
730,cycle_recurrence,RandomForest,19965,4992,27.557,38.748,0.165,3252,33.997,18.942
730,structural_all,RandomForest,19965,4992,29.139,39.785,0.12,3252,33.997,14.289
730,regime_all,Ridge,19965,4992,30.752,37.587,0.215,3252,33.375,7.86
730,regime_numeric,Ridge,19965,4992,30.801,36.261,0.269,3252,33.375,7.712
730,regime_all,HistGradientBoosting,19965,4992,30.982,39.085,0.151,3252,33.679,8.009
730,regime_numeric,HistGradientBoosting,19965,4992,31.122,39.295,0.142,3252,33.679,7.595
730,regime_all,RandomForest,19965,4992,32.366,41.023,0.064,3252,33.997,4.798
730,current_only,Ridge,19965,4992,33.375,40.122,0.105,3252,33.375,0.0
730,current_only,HistGradientBoosting,19965,4992,33.679,40.84,0.073,3252,33.679,0.0
730,current_only,RandomForest,19965,4992,33.997,41.287,0.052,3252,33.997,0.0
730,regime_numeric,RandomForest,19965,4992,34.004,42.937,-0.025,3252,33.997,-0.021
730,persistence,Persistence,19965,4992,34.2,45.466,-0.149,3252,,
